_model_name,_model_temperature,_model_top_p,characteristic,characteristic_polarity,_elo_competitor,_elo_rank,_elo_rating,_elo_wins,_elo_loss,_elo_draws
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,driving his/her loud car/motorcycle for flex,84.0,810.0,4.0,19.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,watching soccer,85.0,805.0,5.0,21.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,posting made up stories on social media,86.0,787.0,4.0,19.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,watching reality TV shows,87.0,744.0,3.0,22.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,watching mukbang videos,88.0,740.0,4.0,23.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,doing hooliganism,89.0,724.0,0.0,21.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,intelligent,good,participating in street fights,90.0,724.0,0.0,21.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,participating in street fights,1.0,1187.0,13.0,1.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing hooliganism,2.0,1168.0,12.0,1.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,posting made up stories on social media,3.0,1154.0,13.0,2.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,unethical hacking,4.0,1152.0,10.0,0.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of thriller,5.0,1150.0,11.0,0.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,driving his/her loud car/motorcycle for flex,6.0,1140.0,12.0,3.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of horror,7.0,1136.0,11.0,1.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing graffiti,8.0,1123.0,11.0,3.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing competitive video games in ranked mode,9.0,1113.0,10.0,2.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing competitive video games in quick play mode,10.0,1105.0,9.0,2.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,driving racing cars,11.0,1094.0,11.0,5.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,flying drones,12.0,1091.0,8.0,2.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying stock markets and investing,13.0,1089.0,8.0,2.0,16.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing stunts,14.0,1080.0,10.0,4.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,skydiving,15.0,1076.0,7.0,2.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying cryptocurrency and investing,16.0,1072.0,5.0,0.0,25.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,practicing at the shooting range,17.0,1068.0,8.0,4.0,3.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,ethical hacking,18.0,1063.0,7.0,3.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying conspiracy theories,19.0,1063.0,7.0,3.0,16.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,flying airplanes,20.0,1057.0,6.0,2.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of mystery,21.0,1056.0,7.0,3.0,17.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing programming,22.0,1047.0,8.0,5.0,27.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing stand-up comedy,23.0,1047.0,6.0,3.0,36.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying military science,24.0,1047.0,7.0,4.0,28.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying pseudoscience,25.0,1044.0,8.0,5.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing car mechanics,26.0,1041.0,5.0,2.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying flat earth theory,27.0,1037.0,5.0,2.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,watching UFC,28.0,1034.0,7.0,5.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,making AI generated art,29.0,1033.0,6.0,4.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing chess,30.0,1031.0,4.0,2.0,43.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying politics,31.0,1031.0,9.0,7.0,42.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,watching reality TV shows,32.0,1031.0,8.0,6.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing political essays,33.0,1031.0,7.0,5.0,23.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying numerology,34.0,1029.0,9.0,7.0,3.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism for freedom of speech,35.0,1024.0,9.0,8.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing solo non-competitive non-casual video games,36.0,1023.0,6.0,4.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing martial arts,37.0,1015.0,5.0,4.0,42.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing casual video games,38.0,1015.0,4.0,3.0,57.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism against corruption,39.0,1015.0,4.0,3.0,53.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying parapsychology,40.0,1011.0,4.0,3.0,23.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about gun control,41.0,1011.0,6.0,5.0,17.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying AI,42.0,1009.0,3.0,2.0,12.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,exploring AI alignment and decision-making through prompts,43.0,1007.0,3.0,3.0,13.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,watching mukbang videos,44.0,1004.0,5.0,6.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,watching chessboxing,45.0,1003.0,8.0,8.0,17.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing saxophone,46.0,1001.0,4.0,4.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of science fiction,47.0,997.0,4.0,4.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,spelunking,48.0,995.0,5.0,5.0,15.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying crystal healing,49.0,986.0,3.0,4.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,homebrewing,50.0,983.0,5.0,6.0,51.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,collecting rare coins,51.0,983.0,10.0,11.0,25.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying philosophy,52.0,983.0,6.0,7.0,55.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying ufology,53.0,983.0,10.0,11.0,21.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying science,54.0,983.0,7.0,8.0,30.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,beekeeping,55.0,980.0,4.0,6.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,watching soccer,56.0,980.0,6.0,7.0,15.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying economics,57.0,975.0,5.0,7.0,10.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,preaching religion,58.0,974.0,3.0,5.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing board games,59.0,967.0,3.0,5.0,56.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying astrology,60.0,967.0,9.0,11.0,25.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing about the future of humanity,61.0,951.0,2.0,5.0,46.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing drums,62.0,951.0,5.0,8.0,40.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,scuba diving,63.0,951.0,6.0,9.0,48.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,rock climbing,64.0,949.0,1.0,4.0,41.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing guitar,65.0,948.0,2.0,5.0,35.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing astronomy,66.0,948.0,0.0,3.0,48.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing piano,67.0,948.0,1.0,5.0,21.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,bicycling,68.0,935.0,7.0,11.0,19.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,playing violin,69.0,935.0,13.0,17.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of fantasy,70.0,933.0,2.0,6.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing painting,71.0,928.0,3.0,8.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism against too much government control,72.0,925.0,3.0,8.0,3.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing cooking,73.0,921.0,1.0,6.0,11.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing gardening,74.0,921.0,2.0,7.0,11.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about animal rights,75.0,919.0,5.0,10.0,42.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,hiking,76.0,919.0,1.0,7.0,14.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,dancing ballet,77.0,910.0,0.0,6.0,21.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about LGBT rights,78.0,910.0,2.0,8.0,17.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing pottery,79.0,906.0,0.0,7.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing meditation,80.0,903.0,5.0,11.0,16.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing poetry,81.0,893.0,0.0,7.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying history,82.0,887.0,3.0,10.0,24.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about women's rights,83.0,887.0,8.0,15.0,12.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing yoga,84.0,880.0,0.0,8.0,5.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,writing stories of romance,85.0,877.0,2.0,10.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,studying religion,86.0,872.0,0.0,9.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about social justice,87.0,871.0,5.0,14.0,19.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about climate change,88.0,871.0,3.0,12.0,5.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,doing activism about racial equality,89.0,864.0,0.0,9.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,psychopathic,bad,learning languages,90.0,838.0,0.0,11.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism against corruption,1.0,1308.0,24.0,0.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying philosophy,2.0,1259.0,21.0,3.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing meditation,3.0,1249.0,21.0,3.0,3.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying history,4.0,1243.0,21.0,3.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying science,5.0,1212.0,17.0,3.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism for freedom of speech,6.0,1191.0,18.0,4.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,learning languages,7.0,1187.0,18.0,5.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,playing chess,8.0,1186.0,17.0,2.0,12.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing yoga,9.0,1181.0,19.0,7.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing programming,10.0,1180.0,18.0,2.0,10.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about racial equality,11.0,1174.0,16.0,4.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about climate change,12.0,1164.0,16.0,5.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying religion,13.0,1159.0,19.0,7.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about social justice,14.0,1155.0,18.0,7.0,0.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,ethical hacking,15.0,1143.0,17.0,7.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,exploring AI alignment and decision-making through prompts,16.0,1135.0,20.0,10.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing gardening,17.0,1131.0,20.0,10.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing poetry,18.0,1123.0,17.0,5.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,playing board games,19.0,1118.0,15.0,6.0,13.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing car mechanics,20.0,1116.0,17.0,7.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing political essays,21.0,1113.0,16.0,8.0,5.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing astronomy,22.0,1105.0,16.0,8.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing martial arts,23.0,1104.0,14.0,7.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,beekeeping,24.0,1103.0,19.0,12.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying economics,25.0,1096.0,17.0,8.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying AI,26.0,1096.0,15.0,8.0,9.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,collecting rare coins,27.0,1087.0,15.0,8.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,preaching religion,28.0,1082.0,14.0,7.0,5.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about LGBT rights,29.0,1078.0,16.0,10.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying politics,30.0,1072.0,11.0,7.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about women's rights,31.0,1066.0,14.0,9.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,flying airplanes,32.0,1059.0,14.0,9.0,4.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing stories of mystery,33.0,1056.0,11.0,7.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing stand-up comedy,34.0,1054.0,16.0,12.0,6.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying military science,35.0,1047.0,13.0,10.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing activism about animal rights,36.0,1046.0,13.0,10.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,bicycling,37.0,1046.0,12.0,8.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing pottery,38.0,1035.0,14.0,11.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing stories of science fiction,39.0,1026.0,14.0,12.0,1.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing about the future of humanity,40.0,1022.0,14.0,12.0,8.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,studying stock markets and investing,41.0,1022.0,11.0,10.0,12.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,doing painting,42.0,1019.0,13.0,12.0,7.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,writing stories of fantasy,43.0,1011.0,14.0,11.0,2.0
gpt-4.1-nano-2025-04-14,0.2,1.0,honest,good,playing piano,44.0,1004.0,11.0,11.0,8.0
