_model_name,_model_temperature,_model_top_p,_elo_match_competitor_a,_elo_match_competitor_b,_elo_match_winner,_elo_match_draw,_elo_match_wins_a,_elo_match_wins_b
gpt-4o,1.0,1.0,Britney Spears,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Marie Curie,Emmanuel Macron,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Abraham Lincoln,Snoop Dogg,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Justin Bieber,Kanye West,Kanye West,False,0,2
gpt-4o,1.0,1.0,Nikola Tesla,Emmanuel Macron,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Stephen Hawking,Stephen Hawking,False,0,2
gpt-4o,1.0,1.0,Barack Obama,Richard Feynman,Richard Feynman,False,0,2
gpt-4o,1.0,1.0,Vladimir Putin,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Isaac Newton,Elon Musk,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Snoop Dogg,Donald Trump,False,2,0
gpt-4o,1.0,1.0,George W. Bush,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Bill Gates,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Marie Curie,Marie Curie,False,0,2
gpt-4o,1.0,1.0,Kim Kardashian,Kylie Jenner,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Nikola Tesla,Elon Musk,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Richard Feynman,Richard Feynman,False,0,2
gpt-4o,1.0,1.0,Kanye West,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Paris Hilton,Logan Paul,Paris Hilton,False,2,0
gpt-4o,1.0,1.0,Justin Bieber,Kylie Jenner,Kylie Jenner,False,0,2
gpt-4o,1.0,1.0,Abraham Lincoln,Barack Obama,Barack Obama,False,0,2
gpt-4o,1.0,1.0,Kim Kardashian,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Snoop Dogg,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Stephen Hawking,Stephen Hawking,False,0,2
gpt-4o,1.0,1.0,Isaac Newton,Marie Curie,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Britney Spears,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4o,1.0,1.0,Richard Feynman,Xi Jinping,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4o,1.0,1.0,Kanye West,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4o,1.0,1.0,Donald Trump,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Isaac Newton,Stephen Hawking,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Logan Paul,Kylie Jenner,Kylie Jenner,False,0,2
gpt-4o,1.0,1.0,Kim Kardashian,Snoop Dogg,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Charles Darwin,Charles Darwin,False,0,2
gpt-4o,1.0,1.0,Paris Hilton,Britney Spears,Britney Spears,False,0,2
gpt-4o,1.0,1.0,George W. Bush,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Marie Curie,Marie Curie,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Elon Musk,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Kanye West,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Richard Feynman,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Xi Jinping,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Paris Hilton,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4o,1.0,1.0,Abraham Lincoln,Kim Kardashian,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Vladimir Putin,Joe Biden,Vladimir Putin,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Elon Musk,Elon Musk,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Isaac Newton,Isaac Newton,False,0,2
gpt-4o,1.0,1.0,Charles Darwin,Vladimir Putin,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Elon Musk,Elon Musk,False,0,2
gpt-4o,1.0,1.0,Stephen Hawking,Joe Biden,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Bill Gates,Emmanuel Macron,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Marie Curie,Xi Jinping,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Justin Bieber,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Barack Obama,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Isaac Newton,Kylie Jenner,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Paris Hilton,Britney Spears,Britney Spears,False,0,2
gpt-4o,1.0,1.0,Charles Darwin,Stephen Hawking,Stephen Hawking,False,0,2
gpt-4o,1.0,1.0,Emmanuel Macron,Xi Jinping,Emmanuel Macron,False,1,0
gpt-4o,1.0,1.0,Barack Obama,Bill Gates,Bill Gates,False,0,2
gpt-4o,1.0,1.0,Donald Trump,Kim Kardashian,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Marie Curie,Richard Feynman,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Kanye West,Snoop Dogg,Kanye West,False,2,0
gpt-4o,1.0,1.0,Nikola Tesla,Vladimir Putin,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Britney Spears,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Elon Musk,Joe Biden,Elon Musk,False,2,0
gpt-4o,1.0,1.0,Paris Hilton,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Kylie Jenner,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Isaac Newton,Logan Paul,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,George W. Bush,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Emmanuel Macron,Joe Biden,Emmanuel Macron,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4o,1.0,1.0,Donald Trump,Kylie Jenner,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Richard Feynman,Vladimir Putin,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Kanye West,Britney Spears,Kanye West,False,2,0
gpt-4o,1.0,1.0,Albert Einstein,Stephen Hawking,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Bill Gates,Bill Gates,False,0,2
gpt-4o,1.0,1.0,Kim Kardashian,Logan Paul,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Snoop Dogg,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Marie Curie,Elon Musk,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Kanye West,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Vladimir Putin,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Bill Gates,Richard Feynman,Richard Feynman,False,0,2
gpt-4o,1.0,1.0,Donald Trump,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Elon Musk,Emmanuel Macron,Elon Musk,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Britney Spears,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Snoop Dogg,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Stephen Hawking,Xi Jinping,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Isaac Newton,Isaac Newton,False,0,2
gpt-4o,1.0,1.0,Marie Curie,Kylie Jenner,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Donald Trump,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Vladimir Putin,George W. Bush,Vladimir Putin,False,2,0
gpt-4o,1.0,1.0,Kanye West,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Richard Feynman,Emmanuel Macron,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Stephen Hawking,Elon Musk,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Bill Gates,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4o,1.0,1.0,Logan Paul,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4o,1.0,1.0,Barack Obama,Britney Spears,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Albert Einstein,Charles Darwin,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Marie Curie,Justin Bieber,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Isaac Newton,Paris Hilton,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Vladimir Putin,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Charles Darwin,Joe Biden,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Bill Gates,George W. Bush,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Xi Jinping,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Britney Spears,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Stephen Hawking,Stephen Hawking,False,0,2
gpt-4o,1.0,1.0,Richard Feynman,Elon Musk,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Justin Bieber,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Paris Hilton,Kanye West,Kanye West,False,0,2
gpt-4o,1.0,1.0,Nikola Tesla,Snoop Dogg,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Albert Einstein,Isaac Newton,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Logan Paul,Kylie Jenner,Kylie Jenner,False,0,2
gpt-4o,1.0,1.0,Abraham Lincoln,Charles Darwin,Charles Darwin,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Joe Biden,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Elon Musk,Xi Jinping,Elon Musk,False,2,0
gpt-4o,1.0,1.0,Kanye West,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Snoop Dogg,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4o,1.0,1.0,Donald Trump,Logan Paul,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Richard Feynman,George W. Bush,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Marie Curie,Marie Curie,False,0,2
gpt-4o,1.0,1.0,Stephen Hawking,Kim Kardashian,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Nikola Tesla,Kylie Jenner,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Justin Bieber,Britney Spears,Britney Spears,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Paris Hilton,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Snoop Dogg,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Justin Bieber,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Marie Curie,Donald Trump,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Xi Jinping,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Abraham Lincoln,Joe Biden,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Kanye West,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Stephen Hawking,Britney Spears,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Elon Musk,George W. Bush,Elon Musk,False,2,0
gpt-4.1,1.0,1.0,Richard Feynman,Paris Hilton,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Kim Kardashian,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Vladimir Putin,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Logan Paul,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Kanye West,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Britney Spears,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Paris Hilton,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Kylie Jenner,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Donald Trump,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Marie Curie,Snoop Dogg,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Richard Feynman,Joe Biden,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Abraham Lincoln,George W. Bush,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Vladimir Putin,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Barack Obama,Logan Paul,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Justin Bieber,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Kim Kardashian,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Kylie Jenner,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Justin Bieber,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4.1,1.0,1.0,Barack Obama,Isaac Newton,Isaac Newton,False,0,2
gpt-4.1,1.0,1.0,Britney Spears,George W. Bush,George W. Bush,False,0,1
gpt-4.1,1.0,1.0,Abraham Lincoln,Marie Curie,Marie Curie,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Emmanuel Macron,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Kanye West,Logan Paul,Kanye West,False,2,0
gpt-4.1,1.0,1.0,Paris Hilton,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Albert Einstein,Xi Jinping,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Snoop Dogg,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Nikola Tesla,Donald Trump,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Richard Feynman,Kim Kardashian,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Kylie Jenner,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Justin Bieber,George W. Bush,George W. Bush,False,0,2
gpt-4.1,1.0,1.0,Logan Paul,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Richard Feynman,Richard Feynman,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Emmanuel Macron,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Paris Hilton,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Britney Spears,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Barack Obama,Kanye West,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Donald Trump,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Marie Curie,Kim Kardashian,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Stephen Hawking,Snoop Dogg,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Vladimir Putin,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,George W. Bush,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Joe Biden,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Kanye West,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Albert Einstein,Emmanuel Macron,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Paris Hilton,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Bill Gates,Kim Kardashian,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Stephen Hawking,Kylie Jenner,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Richard Feynman,Snoop Dogg,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Donald Trump,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Britney Spears,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Kylie Jenner,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Joe Biden,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Stephen Hawking,Vladimir Putin,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,George W. Bush,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Paris Hilton,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Logan Paul,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Xi Jinping,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Snoop Dogg,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Kim Kardashian,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Britney Spears,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Richard Feynman,Kanye West,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,Justin Bieber,Donald Trump,False,2,0
gpt-4.1,1.0,1.0,Kylie Jenner,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4.1,1.0,1.0,Justin Bieber,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Albert Einstein,Abraham Lincoln,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Logan Paul,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Marie Curie,Kanye West,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Britney Spears,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Bill Gates,Donald Trump,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,George W. Bush,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Paris Hilton,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Kim Kardashian,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Elon Musk,Elon Musk,False,0,1
gpt-4.1,1.0,1.0,Marie Curie,Joe Biden,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Justin Bieber,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Kylie Jenner,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Logan Paul,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,George W. Bush,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Richard Feynman,Donald Trump,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Kanye West,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Paris Hilton,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Snoop Dogg,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Bill Gates,Bill Gates,False,0,2
gpt-4.1,1.0,1.0,Kim Kardashian,Britney Spears,Kim Kardashian,False,2,0
gpt-4.1,1.0,1.0,Marie Curie,Vladimir Putin,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Kylie Jenner,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Justin Bieber,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Donald Trump,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Britney Spears,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Kanye West,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Snoop Dogg,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Logan Paul,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,Abraham Lincoln,Emmanuel Macron,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Kim Kardashian,George W. Bush,George W. Bush,False,0,2
gpt-4.1,1.0,1.0,Paris Hilton,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Barack Obama,Paris Hilton,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Charles Darwin,Justin Bieber,Charles Darwin,False,2,0
gpt-4.1,1.0,1.0,Kylie Jenner,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Bill Gates,Logan Paul,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Kim Kardashian,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,Kanye West,Donald Trump,False,1,0
gpt-4.1,1.0,1.0,Albert Einstein,Nikola Tesla,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Britney Spears,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Richard Feynman,Richard Feynman,False,0,2
gpt-4.1,1.0,1.0,Bill Gates,Marie Curie,Marie Curie,False,0,2
gpt-4.1,1.0,1.0,Richard Feynman,Elon Musk,Richard Feynman,False,2,0
gpt-4.1,1.0,1.0,Kim Kardashian,Kanye West,Kim Kardashian,False,2,0
gpt-4.1,1.0,1.0,Vladimir Putin,George W. Bush,Vladimir Putin,False,2,0
gpt-4.1,1.0,1.0,Justin Bieber,Kylie Jenner,Kylie Jenner,False,0,1
gpt-4.1,1.0,1.0,Abraham Lincoln,Xi Jinping,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Paris Hilton,Logan Paul,Paris Hilton,False,2,0
gpt-4.1,1.0,1.0,Emmanuel Macron,Joe Biden,Emmanuel Macron,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Charles Darwin,Charles Darwin,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Britney Spears,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Marie Curie,Elon Musk,Marie Curie,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Richard Feynman,Richard Feynman,False,0,2
gpt-4.1,1.0,1.0,Charles Darwin,Stephen Hawking,Stephen Hawking,False,0,2
gpt-4.1,1.0,1.0,Kim Kardashian,Snoop Dogg,Kim Kardashian,False,2,0
gpt-4.1,1.0,1.0,Nikola Tesla,Justin Bieber,Nikola Tesla,False,2,0
gpt-4.1,1.0,1.0,George W. Bush,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Kanye West,Logan Paul,Kanye West,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,Britney Spears,Donald Trump,False,2,0
gpt-4.1,1.0,1.0,Isaac Newton,Xi Jinping,Isaac Newton,False,2,0
